# Dipper literature coordinate list
# Literature search cutoff: 2026-07-16
# Coordinates are decimal degrees, ICRS/J2000-style as published; epochs are mixed and no proper-motion propagation was applied.
# One line per spatially deduplicated source/system (2.0 arcsec cross-paper radius, protected against merging two rows from the same paper).
# master_id | canonical_name | ra_deg | dec_deg | evidence_tier | explicit_dipper | core_yso | recommended_crossmatch | papers
DIP-04780 | 2MASS J16270911-2434081 | 246.7879583333 | -24.5689166667 | author_vetted_or_explicit | yes | yes | yes | quillen2014 (2014); hedges2018 (2018)
DIP-04781 | EPIC 204565982 | 246.7891829900 | -21.8128018900 | author_vetted_or_explicit | yes | yes | yes | hedges2018 (2018); mas2026 (2026)
DIP-04782 | 2MASS J16271003-2429133 | 246.7917916667 | -24.4870277778 | author_vetted_or_explicit | no | no | yes | quillen2014 (2014)
DIP-04783 | Gaia DR3 6049171788118368256 | 246.7994602400 | -24.1754461600 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-04784 | 2MASS J16271213-2434491 | 246.8005416667 | -24.5803055556 | author_vetted_or_explicit | no | no | yes | quillen2014 (2014)
DIP-04785 | EPIC 203749770 / 2MASS J16271273-2504017 | 246.8030350300 | -25.0672858200 | author_vetted_or_explicit | yes | yes | yes | quillen2014 (2014); cody2018 (2018); hedges2018 (2018); rebull2018 (2018); mas2026 (2026)
DIP-04786 | EPIC 203806628 / 2MASS J16271513-2451388 | 246.8129583300 | -24.8607777800 | author_vetted_or_explicit | yes | yes | yes | quillen2014 (2014); cody2018 (2018); hedges2018 (2018); rebull2018 (2018)
DIP-04787 | Gaia DR3 6049044828885014528 | 246.8160647600 | -25.0680235100 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-04788 | EPIC 203791768 / 2MASS J16271836-2454537 | 246.8264684200 | -24.9150403200 | author_vetted_or_explicit | yes | yes | yes | quillen2014 (2014); cody2018 (2018); hedges2018 (2018); rebull2018 (2018); mas2026 (2026)
DIP-04789 | 2MASS J16271848-2429059 | 246.8270300000 | -24.4849760000 | author_vetted_or_explicit | no | no | yes | quillen2014 (2014); fores2025 (2025)
DIP-04790 | Gaia DR3 6050874725473381248 | 246.8416807700 | -23.7570240200 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-04791 | 2MASS J16272291-2417573 | 246.8454583333 | -24.2992500000 | author_vetted_or_explicit | no | no | yes | quillen2014 (2014)
DIP-04792 | 2MASS J16272533-2506211 | 246.8555416667 | -25.1058611111 | author_vetted_or_explicit | no | no | yes | quillen2014 (2014)
DIP-04793 | 2MASS J16272648-2439230 | 246.8603333333 | -24.6563888889 | author_vetted_or_explicit | no | no | yes | quillen2014 (2014)
DIP-04794 | 2MASS J16272658-2425543 | 246.8607500000 | -24.4317500000 | author_vetted_or_explicit | yes | yes | yes | quillen2014 (2014); hedges2018 (2018)
DIP-04795 | EPIC 203893434 / 2MASS J16272738-2431165 | 246.8640833300 | -24.5212500000 | author_vetted_or_explicit | yes | yes | yes | quillen2014 (2014); cody2018 (2018)
DIP-04796 | YLW 16A | 246.8667810000 | -24.6593070000 | broad_analogue_or_inventory | no | no | yes | fores2025 (2025)
DIP-04797 | 2MASS J16272943-2439161 | 246.8726250000 | -24.6544722222 | author_vetted_or_explicit | no | no | yes | quillen2014 (2014)
DIP-04798 | EPIC 203919315 / 2MASS J16273084-2424560 | 246.8784995100 | -24.4157018000 | author_vetted_or_explicit | yes | yes | yes | quillen2014 (2014); cody2018 (2018); rebull2018 (2018); mas2026 (2026)
DIP-04799 | Gaia DR3 6049095200261620352 | 246.8879397300 | -24.6876868900 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-04800 | Gaia DR3 6052675618143464832 | 246.8964112200 | -20.4475062300 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-04801 | Gaia DR3 6050679287279645824 | 246.9026768500 | -23.9742469200 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-04802 | EPIC 203870022 | 246.9096386900 | -24.6163882700 | author_vetted_or_explicit | yes | yes | yes | hedges2018 (2018); mas2026 (2026)
DIP-04803 | EPIC 203860592 / 2MASS J16273942-2439155 | 246.9142596000 | -24.6544258800 | author_vetted_or_explicit | yes | yes | yes | cody2018 (2018); rebull2018 (2018); mas2026 (2026)
DIP-04804 | Gaia DR3 6051003608852441856 | 246.9146850400 | -22.7792249500 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-04805 | EPIC 203930599 | 246.9178000000 | -24.3678140000 | author_vetted_or_explicit | yes | yes | yes | hedges2018 (2018)
DIP-04806 | EPIC 203862309 / 2MASS J16274270-2438506 | 246.9279166700 | -24.6473888900 | author_vetted_or_explicit | yes | yes | yes | bodman2017 (2017); cody2018 (2018); hedges2018 (2018); rebull2018 (2018)
DIP-04807 | EPIC 203465909 | 246.9543500000 | -26.0454940000 | author_vetted_or_explicit | yes | yes | yes | hedges2018 (2018)
DIP-04808 | Gaia DR3 6050681211424993280 | 247.0107048100 | -23.9177864200 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-04809 | Gaia DR3 5928786363134227200 | 247.0211949200 | -55.9109468900 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-04810 | Gaia DR3 5940628034616170624 | 247.0285844500 | -49.5395712000 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-04811 | EPIC 203971352 | 247.0529800000 | -24.1932140000 | author_vetted_or_explicit | yes | yes | yes | hedges2018 (2018)
DIP-04812 | EPIC 203891877 | 247.0571200000 | -24.5275380000 | author_vetted_or_explicit | yes | yes | yes | hedges2018 (2018)
DIP-04813 | EPIC 203887087 / 2MASS J16281379-2432494 | 247.0574583300 | -24.5470555600 | author_vetted_or_explicit | yes | yes | yes | cody2018 (2018); hedges2018 (2018); rebull2018 (2018)
DIP-04814 | EPIC 203785905 / 2MASS J16281385-2456113 | 247.0577083300 | -24.9364722200 | author_vetted_or_explicit | yes | yes | yes | cody2018 (2018); rebull2018 (2018)
DIP-04815 | EPIC 203995761 / 2MASS J16281673-2405142 | 247.0697012400 | -24.0874536600 | author_vetted_or_explicit | yes | yes | yes | bodman2017 (2017); cody2018 (2018); hedges2018 (2018); rebull2018 (2018); mas2026 (2026)
DIP-04816 | Gaia DR3 6049105748701216512 | 247.0834264400 | -24.4364488100 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-04817 | Gaia DR3 6049107638486828928 | 247.0896410900 | -24.3654041500 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-04818 | EPIC 203927902 / 2MASS J16283266-2422449 | 247.1361250000 | -24.3791666700 | author_vetted_or_explicit | yes | yes | yes | cody2018 (2018); rebull2018 (2018)
DIP-04819 | Gaia DR3 6052801791400250240 | 247.1388342100 | -19.8612120600 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-04820 | Gaia DR3 5992758590982638592 | 247.1419303100 | -42.1619849200 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-04821 | EPIC 203824153 / 2MASS J16285407-2447442 | 247.2252500000 | -24.7955833300 | author_vetted_or_explicit | yes | yes | yes | bodman2017 (2017); cody2018 (2018); hedges2018 (2018); rebull2018 (2018)
DIP-04822 | Gaia DR3 5940797698681616384 | 247.4594756000 | -48.6077963300 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-04823 | VVVv280 (VVV J162952.41-491102.80) | 247.4683750000 | -49.1841111111 | author_vetted_or_explicit | yes | yes | yes | contreraspena2017 (2017)
DIP-04824 | Gaia DR3 4323482137932152320 | 247.4916490700 | -19.1244074000 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-04825 | TIC 226241509; Gaia DR2 5944710143324257792 | 247.5154291644 | -42.4497429841 | author_vetted_or_explicit | yes | yes | yes | nardiello2020 (2020); tajiri2020 (2020); capistrant2022 (2022); rebull2022 (2022)
DIP-04826 | VVVv286 (VVV J163051.43-484356.65) | 247.7142916667 | -48.7324027778 | author_vetted_or_explicit | yes | yes | yes | contreraspena2017 (2017)
DIP-04827 | 2MASS J16311840+2946322 | 247.8266666667 | 29.7756111111 | rejected_or_nonmember | no | no | no | quillen2014 (2014)
DIP-04828 | Gaia DR3 6017293093442827264 | 247.8594107800 | -39.3993909400 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-04829 | Gaia DR3 5940538939809825408 | 248.0440369800 | -50.1865884900 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-04830 | Gaia DR3 5944623105792696064 | 248.2827980200 | -42.9969406400 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-04831 | Gaia DR3 6017010351467601536 | 248.3465729900 | -40.1455504200 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-04832 | Gaia DR3 6017462005916731648 | 248.3506282900 | -39.5016619100 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-04833 | Gaia DR3 5943825307032598400 | 248.3548903300 | -44.9687726400 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-04834 | Gaia DR3 4466400095283726080 | 248.3574652800 | 17.6784343600 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-04835 | EPIC 205718330 | 248.3973758300 | -15.5117833300 | author_vetted_or_explicit | yes | no | yes | ansdell2019 (2019)
DIP-04836 | Gaia DR3 5940371710981243136 | 248.4579705800 | -50.2049968600 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-04837 | Gaia DR3 5941121814096022400 | 248.5179868000 | -48.3296827700 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-04838 | EPIC 205684783 | 248.5382200000 | -15.8046830000 | author_vetted_or_explicit | yes | yes | yes | hedges2018 (2018)
DIP-04839 | Gaia DR3 6017457195553594240 | 248.5831323900 | -39.4257820400 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-04840 | Gaia DR3 5943808372030547584 | 248.7184050800 | -45.1390186600 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-04841 | Gaia DR3 5943815106539936128 | 248.7198484100 | -45.0411278800 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-04842 | Gaia DR3 5940282272585265152 | 248.7614599800 | -50.5959615500 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-04843 | Gaia DR3 5968721033413947392 | 248.8320109500 | -41.9520321100 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-04844 | Gaia DR3 5943802118557896960 | 248.8532145700 | -45.3147615900 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-04845 | Gaia DR3 5943023110216865536 | 248.8817949900 | -45.6672492800 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-04846 | Gaia DR3 5943025725912592896 | 248.9030251900 | -45.5220790800 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-04847 | Gaia DR3 6017405282311211776 | 248.9282044600 | -39.5744928700 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-04848 | Gaia DR3 5943020434512517632 | 248.9507693200 | -45.6444546400 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-04849 | Gaia DR3 5942893887572104320 | 248.9646324000 | -46.3095999000 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-04850 | Gaia DR3 5942896975612434944 | 248.9982298800 | -46.2782011900 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-04851 | Gaia DR3 5943019261923092992 | 249.0426348000 | -45.7077694900 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-04852 | Gaia DR3 6017489802948755200 | 249.1241624600 | -39.0841334200 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-04853 | Gaia DR3 5968857304138184576 | 249.1673044700 | -41.2670988900 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-04854 | Gaia DR3 5968880771839412864 | 249.2045339200 | -40.8999195100 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-04855 | Gaia DR3 5942996172176669312 | 249.2243856300 | -45.9617029100 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-04856 | Gaia DR3 5940897926034916864 | 249.2418940800 | -48.8145798200 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-04857 | Gaia DR3 6017415590234752768 | 249.2636640100 | -39.5114301500 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-04858 | Gaia DR3 4353108100784561664 | 249.2746596100 | -5.9183098000 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-04859 | Gaia DR3 6017442047233781760 | 249.2948691600 | -39.1101703900 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-04860 | Gaia DR3 4131413158961995264 | 249.3432209200 | -18.7174956900 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-04861 | Gaia DR3 5943043627318307968 | 249.3884254400 | -45.2898433400 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-04862 | Gaia DR3 6019428452433561600 | 249.4213464500 | -37.1150998100 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-04863 | Gaia DR3 6017423046298022144 | 249.4396215600 | -39.3873139000 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-04864 | Gaia DR3 5969370024500817536 | 249.4416972500 | -39.7624561700 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-04865 | Gaia DR3 6017592401126416128 | 249.4444668100 | -38.8124680000 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-04866 | Gaia DR3 5940917545445457024 | 249.4605956700 | -48.8423838600 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-04867 | Gaia DR3 5940918301359867520 | 249.4880126100 | -48.7614554800 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-04868 | Gaia DR3 5940932045255855616 | 249.5135370700 | -48.4661668100 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-04869 | Gaia DR3 5940932423212976384 | 249.5244121500 | -48.4665507100 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-04870 | Gaia DR3 5969353428745166720 | 249.5398533200 | -39.9319070700 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-04871 | Gaia DR3 5969373284336086400 | 249.5582962700 | -39.7290137600 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-04872 | Gaia DR3 5940919057272436224 | 249.5694729700 | -48.7630038800 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-04873 | Gaia DR3 5940919400878593536 | 249.6019166500 | -48.7161185400 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-04874 | Gaia DR3 5940869716687969152 | 249.6443377000 | -48.8927015800 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-04875 | Gaia DR3 5941037362183703040 | 249.7069839000 | -48.1359440700 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-04876 | Gaia DR3 5969476299173589632 | 249.7228468700 | -39.3802173000 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-04877 | Gaia DR3 6017529733289470080 | 249.7488896900 | -38.9526042800 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-04878 | Gaia DR3 5943452194628053376 | 249.7629403200 | -44.8476608100 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-04879 | Gaia DR3 5940870781841489920 | 249.7739302000 | -48.8600202200 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-04880 | Gaia DR3 5943362103390995712 | 249.8176074900 | -45.5311469900 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-04881 | Gaia DR3 5968596311885148288 | 249.8472590800 | -41.7011410700 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-04882 | Gaia DR3 5940852227582320512 | 249.9696344900 | -49.0757542100 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-04883 | Gaia DR3 5940872985201536640 | 249.9738114700 | -48.8628929900 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-04884 | Gaia DR3 5969290653499796864 | 250.1548535900 | -40.1686514700 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-04885 | Gaia DR3 5940966168809640960 | 250.1607694600 | -48.5421348400 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-04886 | Gaia DR3 5940856144592609408 | 250.1722051100 | -49.0241631200 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-04887 | Gaia DR3 5943156632159124096 | 250.1992598000 | -45.7439744600 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-04888 | Gaia DR3 5940859138226296064 | 250.2417781700 | -48.8531247900 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-04889 | Gaia DR3 5940858068738213504 | 250.2860305200 | -48.9006110700 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-04890 | Gaia DR3 5940954967538756096 | 250.3048233000 | -48.7612164600 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-04891 | Gaia DR3 5940955100637523200 | 250.3108376200 | -48.7313954900 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-04892 | Gaia DR3 5940857793860278656 | 250.3218394700 | -48.9166055000 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-04893 | Gaia DR3 5940955547319910400 | 250.3339732100 | -48.7008872300 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-04894 | Gaia DR3 5940952454938365824 | 250.3442390000 | -48.8299593300 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-04895 | Gaia DR3 6019295583326845184 | 250.3493844000 | -37.1509417800 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-04896 | Gaia DR3 5940952253114555264 | 250.3693761300 | -48.8437251400 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-04897 | Gaia DR3 5943157903466352896 | 250.3811873500 | -45.6923779700 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-04898 | Gaia DR3 5937949276370295552 | 250.4049384400 | -48.8993471000 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-04899 | Gaia DR3 5943382105060565376 | 250.4058311600 | -45.2153576800 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-04900 | Gaia DR3 5940954555217106176 | 250.4072645800 | -48.7218947800 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-04901 | Gaia DR3 5937841391121714048 | 250.4386607900 | -49.3114528500 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-04902 | Gaia DR3 5943151478197525120 | 250.4540864700 | -45.8782515800 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-04903 | Gaia DR3 5937957694506424704 | 250.5065587500 | -48.7548985200 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-04904 | Gaia DR3 5969201489997778176 | 250.5550848400 | -40.0417142400 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-04905 | VVVv723 (VVV J164231.97-454048.90) | 250.6332083333 | -45.6802500000 | author_vetted_or_explicit | yes | yes | yes | contreraspena2017 (2017)
DIP-04906 | Gaia DR3 5937362691243680768 | 250.6821378800 | -50.1160931800 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-04907 | Gaia DR3 5967726044126113920 | 250.7304458300 | -42.6901163900 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-04908 | Gaia DR3 5969226881848068096 | 250.7730463000 | -39.8849474000 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-04909 | Gaia DR3 6019520669645677440 | 250.7761602500 | -36.6569398500 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-04910 | Gaia DR3 5967752638551514496 | 250.7961417300 | -42.4894895200 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-04911 | Gaia DR3 6033984337097163136 | 250.9611704400 | -27.7905214900 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-04912 | Gaia DR3 5937775695304049152 | 250.9921485800 | -49.5810235000 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-04913 | Gaia DR3 5970928960194302976 | 251.0022037500 | -39.4170923400 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-04914 | Gaia DR3 6047040831516936576 | 251.0187064800 | -24.3424161500 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-04915 | Gaia DR3 5969129536344085888 | 251.1203416100 | -40.3804310400 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-04916 | Gaia DR3 4327539816876275968 | 251.1620156700 | -13.7296885100 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
