event,field,program,star_id,classification,ef_classification,al_classification,ra,dec,ra_deg,dec_deg,t_0,t_eff,t_e,u_0,isource,ibase,icat,ctype,a_i,ogle_moa,related_event,extra_type
KMT-2015-BLG-0001,BLG01K0126,,0793,clear,,,17:54:43.82,-30:30:46.3,268.6825833333,-30.5128611111,7071.9,9.99,,1.0,,19.33,,,,,,
KMT-2015-BLG-0002,BLG01K0208,,0368,clear,,,17:54:36.66,-30:57:40.5,268.65275,-30.96125,7106.5,5.62,,0.0,,17.53,,,,OB150349  MB15083,,
KMT-2015-BLG-0003,BLG01K0208,,4025,clear,,,17:54:35.26,-30:58:40.4,268.6469166667,-30.9778888889,7121.5,5.62,,1.0,,20.47,,,,,,
KMT-2015-BLG-0004,BLG01K0326,,0834,clear,,,17:54:33.60,-30:31:02.3,268.64,-30.5173055556,7142.5,1.78,,1.0,,18.84,,,,OB150834,,
KMT-2015-BLG-0005,BLG01K0537,,0728,clear,,,17:54:17.02,-30:14:38.5,268.5709166667,-30.2440277778,7073.5,1.33,,1.0,,18.63,,,,OB150109,,
KMT-2015-BLG-0006,BLG01K0603,,2452,clear,,,17:54:10.89,-31:06:12.4,268.545375,-31.1034444444,7185.1,9.99,,1.0,,19.73,,,,OB151172  MB15255,,
KMT-2015-BLG-0007,BLG01K0734,,0458,clear,,,17:53:59.75,-30:19:21.1,268.4989583333,-30.3225277778,7083.7,3.16,,1.0,,17.63,,,,OB150312,,
KMT-2015-BLG-0008,BLG01K0734,,1074,clear,,,17:54:03.47,-30:18:42.6,268.5144583333,-30.3118333333,7177.7,5.62,,1.0,,19.5,,,,,,
KMT-2015-BLG-0009,BLG01K0739,,0516,clear,,,17:54:06.35,-30:11:08.7,268.5264583333,-30.18575,7304.2,31.57,,1.0,,17.44,,,,OB151886,,
KMT-2015-BLG-0010,BLG01K0805,,0619,clear,,,17:53:55.73,-31:02:32.1,268.4822083333,-31.04225,7250.0,13.32,,1.0,,18.47,,,,,,
KMT-2015-BLG-0011,BLG01K0902,,2128,clear,,,17:53:45.72,-31:08:04.5,268.4405,-31.1345833333,7294.3,2.37,,0.0,,19.56,,,,OB152062  MB15523,,
KMT-2015-BLG-0012,BLG01K0911,,1253,clear,,,17:53:46.02,-30:54:10.0,268.44175,-30.9027777778,7109.6,4.21,,1.0,,18.98,,,,OB150476,,
KMT-2015-BLG-0013,BLG01K0930,,2389,clear,,,17:53:48.25,-30:24:22.4,268.4510416667,-30.4062222222,7203.9,5.62,,1.0,,19.28,,,,OB151471,,
KMT-2015-BLG-0014,BLG01K1038,,0286,clear,,,17:53:45.08,-30:12:11.1,268.4378333333,-30.2030833333,7120.6,7.49,,1.0,,16.6,,,,OB150671  MB15113,,
KMT-2015-BLG-0015,BLG01K1106,,4082,clear,,,17:53:36.23,-31:02:01.6,268.4009583333,-31.0337777778,7288.2,5.62,,1.0,,20.79,,,,MB15537,,
KMT-2015-BLG-0016,BLG01K1116,,2519,clear,,,17:53:35.54,-30:45:27.2,268.3980833333,-30.7575555556,7297.8,7.49,,1.0,,19.91,,,,,,
KMT-2015-BLG-0017,BLG01K1330,,0369,clear,,,17:53:17.14,-30:24:16.8,268.3214166667,-30.4046666667,7178.4,9.99,,1.0,,16.45,,,,OB151159,,
KMT-2015-BLG-0018,BLG01K1430,,0545,clear,,,17:53:15.29,-30:25:18.4,268.3137083333,-30.4217777778,7123.4,5.62,,1.0,,17.41,,,,OB150490,,
KMT-2015-BLG-0019,BLG01K1602,,2575,clear,,,17:52:59.30,-31:07:37.6,268.2470833333,-31.1271111111,7120.0,42.09,,1.0,,20.45,,,,OB150571,,
KMT-2015-BLG-0020,BLG01K1701,,1110,clear,,,17:52:48.01,-31:09:08.2,268.2000416667,-31.1522777778,7078.5,9.99,,0.0,,19.38,,,,OB150230,,
KMT-2015-BLG-0021,BLG01K1716,,3012,clear,,,17:52:48.79,-30:46:33.4,268.2032916667,-30.7759444444,7089.2,0.56,,0.0,,19.92,,,,OB150276,,
KMT-2015-BLG-0022,BLG01K1731,,2696,clear,,,17:52:53.69,-30:22:33.1,268.2237083333,-30.3758611111,7114.2,2.37,,1.0,,19.76,,,,OB150558,,
KMT-2015-BLG-0023,BLG01K1820,,3046,clear,,,17:52:44.34,-30:39:57.9,268.18475,-30.6660833333,7095.3,5.62,,1.0,,20.08,,,,,,
KMT-2015-BLG-0024,BLG01K1837,,0939,clear,,,17:52:47.02,-30:14:56.8,268.1959166667,-30.2491111111,7161.8,9.99,,1.0,,18.47,,,,,,
KMT-2015-BLG-0025,BLG01K1939,,0611,clear,,,17:52:36.57,-30:11:29.3,268.152375,-30.1914722222,7222.6,5.62,,1.0,,17.94,,,,OB151619,,
KMT-2015-BLG-0026,BLG01K2026,,1670,clear,,,17:52:32.96,-30:30:20.6,268.1373333333,-30.5057222222,7111.1,3.16,,1.0,,19.97,,,,OB150547,,
KMT-2015-BLG-0027,BLG01K2107,,1061,clear,,,17:52:20.09,-31:00:09.7,268.0837083333,-31.0026944444,7230.5,31.57,,1.0,,19.06,,,,OB151580,,
KMT-2015-BLG-0028,BLG01K2132,,1098,clear,,,17:52:22.80,-30:22:11.1,268.095,-30.36975,7081.6,3.16,,1.0,,19.02,,,,OB150202,,
KMT-2015-BLG-0029,BLG01K2402,,2686,clear,,,17:51:59.77,-31:07:41.2,267.9990416667,-31.1281111111,7135.0,0.56,,1.0,,20.14,,,,OB150795,,
KMT-2015-BLG-0030,BLG01K2407,,1169,clear,,,17:52:01.94,-30:59:06.1,268.0080833333,-30.9850277778,7214.4,3.16,,1.0,,19.25,,,,OB151481  MB15328,,
KMT-2015-BLG-0031,BLG01K2436,,2574,clear,,,17:52:06.80,-30:15:25.5,268.0283333333,-30.2570833333,7124.8,3.16,,1.0,,19.78,,,,OB150652,,
KMT-2015-BLG-0032,BLG01K2612,,1610,clear,,,17:51:48.96,-30:52:00.4,267.954,-30.8667777778,7261.1,1.78,,0.0,,19.48,,,,OB151802  MB15451,,
KMT-2015-BLG-0033,BLG01K2621,,0537,clear,,,17:51:48.49,-30:38:49.7,267.9520416667,-30.6471388889,7172.3,17.76,,1.0,,16.64,,,,OB150939  MB15241,,
KMT-2015-BLG-0034,BLG01K2828,,0592,clear,,,17:51:35.96,-30:27:13.9,267.8998333333,-30.4538611111,7312.1,13.32,,1.0,,18.89,,,,OB152087  MB15556,,
KMT-2015-BLG-0035,BLG01K2938,,3591,clear,,,17:51:28.24,-30:13:24.4,267.8676666667,-30.2234444444,7253.5,1.0,,1.0,,20.47,,,,OB151821,,
KMT-2015-BLG-0036,BLG01K3001,,0119,clear,,,17:51:18.60,-31:08:44.8,267.8275,-31.1457777778,7142.7,17.76,,1.0,,16.0,,,,,,
KMT-2015-BLG-0037,BLG01K3021,,0283,clear,,,17:51:19.33,-30:38:03.7,267.8305416667,-30.6343611111,7072.0,1.78,,1.0,,16.63,,,,,,
KMT-2015-BLG-0038,BLG01K3226,,0478,clear,,,17:51:04.08,-30:31:14.1,267.767,-30.5205833333,7094.1,4.21,,1.0,,18.11,,,,OB150267,,
KMT-2015-BLG-0039,BLG01K3237,,0286,clear,,,17:51:11.12,-30:14:48.0,267.7963333333,-30.2466666667,7259.3,1.78,,1.0,,16.8,,,,OB151812  MB15466,,
KMT-2015-BLG-0040,BLG01K3436,,2122,clear,,,17:50:56.18,-30:15:58.7,267.7340833333,-30.2663055556,7236.7,13.32,,1.0,,19.69,,,,OB151746,,
KMT-2015-BLG-0041,BLG01K3631,,0652,clear,,,17:50:37.57,-30:23:58.7,267.6565416667,-30.3996388889,7221.7,9.99,,1.0,,18.34,,,,OB151637,,
KMT-2015-BLG-0042,BLG01K3711,,0353,clear,,,17:50:31.34,-30:53:19.3,267.6305833333,-30.8886944444,7207.7,1.33,,1.0,,17.43,,,,OB151482,,
KMT-2015-BLG-0043,BLG01K3718,,3182,clear,,,17:50:30.32,-30:43:07.8,267.6263333333,-30.7188333333,7278.1,4.21,,1.0,,20.39,,,,,,
KMT-2015-BLG-0044,BLG01K3731,,0184,clear,,,17:50:31.59,-30:23:53.7,267.631625,-30.39825,7078.5,9.99,,1.0,,17.02,,,,OB150122,,
KMT-2015-BLG-0045,BLG01K4015,,1896,clear,,,17:50:10.26,-30:47:02.0,267.54275,-30.7838888889,7102.8,5.62,,0.0,,19.8,,,,OB150434,,
KMT-2015-BLG-0046,BLG01K4017,,0758,clear,,,17:50:10.66,-30:44:10.4,267.5444166667,-30.7362222222,7238.6,3.16,,1.0,,18.85,,,,OB151775,,
KMT-2015-BLG-0047,BLG01M0116,,0856,clear,,,17:59:38.54,-30:45:02.5,269.9105833333,-30.7506944444,7116.8,13.32,,1.0,,18.93,,,,OB150249  MB15103,,
KMT-2015-BLG-0048,BLG01M0323,,1109,clear,,,17:59:29.88,-30:35:02.8,269.8745,-30.5841111111,7188.4,9.99,,1.0,,19.11,,,,OB151292,,
KMT-2015-BLG-0049,BLG01M0437,,3432,clear,,,17:59:18.28,-30:14:03.2,269.8261666667,-30.2342222222,7245.1,5.62,,1.0,,20.58,,,,,,
KMT-2015-BLG-0050,BLG01M0740,,0253,clear,,,17:58:55.04,-30:09:26.3,269.7293333333,-30.1573055556,7273.9,4.21,,0.0,,16.55,,,,MB15481,,
KMT-2015-BLG-0051,BLG01M0909,,0801,clear,,,17:58:49.12,-30:55:50.1,269.7046666667,-30.9305833333,7185.1,9.99,,1.0,,19.19,,,,OB151334,,
KMT-2015-BLG-0052,BLG01M1125,,1711,clear,,,17:58:28.01,-30:32:36.7,269.6167083333,-30.5435277778,7291.6,9.99,,1.0,,19.96,,,,,,
KMT-2015-BLG-0053,BLG01M1137,,0653,clear,,,17:58:32.41,-30:13:36.0,269.6350416667,-30.2266666667,7288.2,5.62,,1.0,,18.17,,,,,,
KMT-2015-BLG-0054,BLG01M1237,,2285,clear,,,17:58:25.82,-30:14:11.3,269.6075833333,-30.2364722222,7175.5,7.49,,1.0,,19.74,,,,OB151168,,
KMT-2015-BLG-0055,BLG01M1423,,0063,clear,,,17:58:10.21,-30:35:19.0,269.5425416667,-30.5886111111,7235.7,1.33,,1.0,,16.09,,,,OB151772,,
KMT-2015-BLG-0056,BLG01M1423,,2232,clear,,,17:58:07.61,-30:35:47.6,269.5317083333,-30.5965555556,7179.7,1.33,,1.0,,20.15,,,,OB151258,,
KMT-2015-BLG-0057,BLG01M1439,,1278,clear,,,17:58:04.82,-30:10:28.0,269.5200833333,-30.1744444444,7165.1,9.99,,1.0,,19.05,,,,OB150725,,
KMT-2015-BLG-0058,BLG01M1503,,2925,clear,,,17:58:01.97,-31:05:01.8,269.5082083333,-31.0838333333,7257.1,4.21,,1.0,,20.14,,,,OB151858,,
KMT-2015-BLG-0059,BLG01M1515,,0489,clear,,,17:58:01.58,-30:47:13.5,269.5065833333,-30.7870833333,7098.5,9.99,,0.0,,18.38,,,,OB150031  MB15030,,
KMT-2015-BLG-0060,BLG01M1539,,1146,clear,,,17:58:04.82,-30:10:28.0,269.5200833333,-30.1744444444,7163.0,7.49,,1.0,,19.05,,,,OB150725,,
KMT-2015-BLG-0061,BLG01M1626,,1785,clear,,,17:57:57.06,-30:30:34.0,269.48775,-30.5094444444,7201.2,13.32,,1.0,,20.24,,,,OB151348,,
KMT-2015-BLG-0062,BLG01M1814,,0440,clear,,,17:57:42.14,-30:49:28.0,269.4255833333,-30.8244444444,7211.3,2.37,,1.0,,17.83,,,,,,
KMT-2015-BLG-0063,BLG01M1835,,1381,clear,,,17:57:40.19,-30:16:28.9,269.4174583333,-30.2746944444,7168.3,5.62,,1.0,,19.39,,,,OB151182,,
KMT-2015-BLG-0064,BLG01M1905,,1032,clear,,,17:57:37.81,-31:02:47.5,269.4075416667,-31.0465277778,7173.0,7.49,,1.0,,18.72,,,,MB15233,,
KMT-2015-BLG-0065,BLG01M1905,,2878,clear,,,17:57:35.82,-31:02:56.2,269.39925,-31.0489444444,7085.7,13.32,,0.0,,19.86,,,,OB150053,,
KMT-2015-BLG-0066,BLG01M1917,,0040,clear,,,17:57:35.77,-30:44:18.0,269.3990416667,-30.7383333333,7103.6,56.12,,1.0,,15.44,,,,OB150013  MB15014,,
KMT-2015-BLG-0067,BLG01M1921,,0446,clear,,,17:57:34.24,-30:38:45.1,269.3926666667,-30.6458611111,7147.9,1.78,,1.0,,17.75,,,,OB150907,,
KMT-2015-BLG-0068,BLG01M1938,,2515,clear,,,17:57:33.61,-30:12:00.0,269.3900416667,-30.2,7077.8,0.75,,1.0,,20.25,,,,OB150132,,
KMT-2015-BLG-0069,BLG01M2013,,1535,clear,,,17:57:28.74,-30:50:58.6,269.36975,-30.8496111111,7100.9,5.62,,0.0,,19.18,,,,OB150396,,
KMT-2015-BLG-0070,BLG01M2102,,0500,clear,,,17:57:23.56,-31:07:10.8,269.3481666667,-31.1196666667,7280.8,3.16,,1.0,,17.6,,,,,,
KMT-2015-BLG-0071,BLG01M2107,,3804,clear,,,17:57:20.36,-30:58:46.5,269.3348333333,-30.9795833333,7115.1,9.99,,0.0,,20.45,,,,OB150464,,
KMT-2015-BLG-0072,BLG01M2202,,2492,clear,,,17:57:14.37,-31:06:26.0,269.309875,-31.1072222222,7266.0,23.68,,1.0,,19.63,,,,OB151867,,
KMT-2015-BLG-0073,BLG01M2222,,2749,clear,,,17:57:16.25,-30:35:59.0,269.3177083333,-30.5997222222,7263.3,13.32,,1.0,,20.43,,,,OB151895,,
KMT-2015-BLG-0074,BLG01M2226,,1247,clear,,,17:57:15.89,-30:30:48.4,269.3162083333,-30.5134444444,7083.3,2.37,,1.0,,19.9,,,,OB150213,,
KMT-2015-BLG-0075,BLG01M2323,,1631,clear,,,17:57:06.27,-30:34:47.2,269.276125,-30.5797777778,7211.3,2.37,,1.0,,19.7,,,,OB151564  MB15320,,
KMT-2015-BLG-0076,BLG01M2432,,0029,clear,,,17:57:01.46,-30:22:01.6,269.2560833333,-30.3671111111,7278.9,17.76,,1.0,,15.08,,,,OB152026  MB15504/549,,
KMT-2015-BLG-0077,BLG01M2436,,1103,clear,,,17:56:56.04,-30:14:47.7,269.2335,-30.2465833333,7127.0,3.16,,1.0,,19.12,,,,OB150662,,
KMT-2015-BLG-0078,BLG01M2437,,2906,clear,,,17:57:01.13,-30:14:21.5,269.2547083333,-30.2393055556,7269.1,1.0,,1.0,,20.23,,,,,,
KMT-2015-BLG-0079,BLG01M2516,,0013,clear,,,17:56:51.84,-30:46:29.5,269.216,-30.7748611111,7210.4,7.49,,1.0,,16.56,,,,MB15267,,
KMT-2015-BLG-0080,BLG01M2607,,3414,clear,,,17:56:46.65,-30:59:20.2,269.194375,-30.9889444444,7201.2,13.32,,1.0,,19.8,,,,OB151474,,
KMT-2015-BLG-0081,BLG01M2807,,1503,clear,,,17:56:35.56,-30:58:45.5,269.1481666667,-30.9793055556,7097.2,5.62,,1.0,,18.93,,,,,,
KMT-2015-BLG-0082,BLG01M2812,,4016,clear,,,17:56:33.06,-30:51:58.2,269.13775,-30.8661666667,7264.1,1.78,,1.0,,20.47,,,,OB151894  MB15476,,
KMT-2015-BLG-0083,BLG01M2915,,0430,clear,,,17:56:25.19,-30:47:35.3,269.1049583333,-30.7931388889,7173.3,0.75,,1.0,,17.63,,,,MB15251,,
KMT-2015-BLG-0084,BLG01M3008,,2312,clear,,,17:56:18.61,-30:57:18.4,269.0775416667,-30.9551111111,7211.4,5.62,,1.0,,19.47,,,,OB151536,,
KMT-2015-BLG-0085,BLG01M3013,,3498,clear,,,17:56:16.29,-30:50:29.2,269.067875,-30.8414444444,7230.4,7.49,,1.0,,19.94,,,,OB151740,,
KMT-2015-BLG-0086,BLG01M3020,,1373,clear,,,17:56:20.49,-30:40:21.8,269.085375,-30.6727222222,7175.8,5.62,,1.0,,19.36,,,,OB150969  MB15239,,
KMT-2015-BLG-0087,BLG01M3214,,3090,clear,,,17:56:00.65,-30:49:20.6,269.0027083333,-30.8223888889,7164.5,1.78,,1.0,,19.62,,,,OB151137,,
KMT-2015-BLG-0088,BLG01M3308,,1849,clear,,,17:55:54.31,-30:57:31.0,268.9762916667,-30.9586111111,7316.3,5.62,,1.0,,19.13,,,,OB152108,,
KMT-2015-BLG-0089,BLG01M3339,,2984,clear,,,17:55:58.15,-30:10:51.9,268.9922916667,-30.1810833333,7228.4,9.99,,1.0,,19.94,,,,OB151646,,
KMT-2015-BLG-0090,BLG01M3426,,0362,clear,,,17:55:46.55,-30:30:33.7,268.9439583333,-30.5093611111,7269.5,5.62,,1.0,,17.03,,,,OB151872,,
KMT-2015-BLG-0091,BLG01M3606,,2128,clear,,,17:55:38.29,-31:01:09.1,268.9095416667,-31.0191944444,7111.0,4.21,,1.0,,19.13,,,,,,
KMT-2015-BLG-0092,BLG01M3728,,1361,clear,,,17:55:24.82,-30:27:33.7,268.8534166667,-30.4593611111,7201.9,2.37,,1.0,,20.09,,,,OB151497,,
KMT-2015-BLG-0093,BLG01M3812,,1632,clear,,,17:55:21.70,-30:52:14.1,268.8404166667,-30.8705833333,7179.3,1.78,,1.0,,18.99,,,,OB151257,,
KMT-2015-BLG-0094,BLG01M3839,,0261,clear,,,17:55:23.43,-30:10:52.6,268.847625,-30.1812777778,7055.9,5.62,,1.0,,16.94,,,,OB150014  MB15023,,
KMT-2015-BLG-0095,BLG01M3839,,3634,clear,,,17:55:21.94,-30:10:58.4,268.8414166667,-30.1828888889,7213.4,3.16,,1.0,,20.07,,,,,,
KMT-2015-BLG-0096,BLG01M3902,,1026,clear,,,17:55:10.48,-31:07:58.2,268.7936666667,-31.1328333333,7165.6,13.32,,1.0,,18.79,,,,OB151105,,
KMT-2015-BLG-0097,BLG01M3936,,1032,clear,,,17:55:14.67,-30:15:51.6,268.811125,-30.2643333333,7078.0,0.75,,1.0,,18.6,,,,OB150112,,
KMT-2015-BLG-0098,BLG01N0107,,0013,clear,,,17:59:45.14,-32:05:18.6,269.9380833333,-32.0885,7053.9,17.76,,0.0,,15.03,,,,,,
KMT-2015-BLG-0099,BLG01N0107,,1963,clear,,,17:59:46.36,-32:05:59.3,269.9431666667,-32.0998055556,7168.0,3.16,,1.0,,20.02,,,,OB151013,,
KMT-2015-BLG-0100,BLG01N0116,,3185,clear,,,17:59:44.58,-31:52:16.4,269.93575,-31.8712222222,7088.1,7.49,,1.0,,20.66,,,,OB150317,,
KMT-2015-BLG-0101,BLG01N0312,,0784,clear,,,17:59:31.17,-31:59:08.6,269.879875,-31.9857222222,7082.9,4.21,,1.0,,19.11,,,,,,
KMT-2015-BLG-0102,BLG01N0633,,3015,clear,,,17:59:12.37,-31:26:58.6,269.8015416667,-31.4496111111,7093.1,7.49,,1.0,,20.51,,,,,,
KMT-2015-BLG-0103,BLG01N0915,,0029,clear,,,17:58:50.52,-31:54:55.1,269.7105,-31.9153055556,7121.3,13.32,,0.0,,15.44,,,,OB150305  MB15096,,
KMT-2015-BLG-0104,BLG01N1021,,3207,clear,,,17:58:40.49,-31:45:30.7,269.6687083333,-31.7585277778,7083.1,7.49,,1.0,,20.95,,,,,,
KMT-2015-BLG-0105,BLG01N1228,,0948,clear,,,17:58:26.28,-31:35:07.1,269.6095,-31.5853055556,7145.0,2.37,,1.0,,18.94,,,,OB150497  MB15141,,
KMT-2015-BLG-0106,BLG01N1732,,0221,clear,,,17:57:52.24,-31:28:21.0,269.4676666667,-31.4725,7226.6,23.68,,0.0,,17.35,,,,MB15237,,
KMT-2015-BLG-0107,BLG01N1933,,0466,clear,,,17:57:37.90,-31:27:16.1,269.4079166667,-31.4544722222,7076.1,1.78,,1.0,,18.61,,,,OB150113  MB15037,,
KMT-2015-BLG-0108,BLG01N2211,,3416,clear,,,17:57:15.82,-32:01:07.1,269.3159166667,-32.0186388889,7271.6,9.99,,1.0,,20.94,,,,,,
KMT-2015-BLG-0109,BLG01N2432,,3242,clear,,,17:56:59.94,-31:29:21.8,269.24975,-31.4893888889,7158.0,7.49,,0.0,,20.42,,,,OB151030,,
KMT-2015-BLG-0110,BLG01N2514,,0600,clear,,,17:56:56.01,-31:56:27.9,269.233375,-31.9410833333,7207.8,17.76,,1.0,,18.83,,,,OB151447,,
KMT-2015-BLG-0111,BLG01N2537,,1197,clear,,,17:56:56.99,-31:21:17.3,269.2374583333,-31.3548055556,7210.7,4.21,,1.0,,19.14,,,,OB151575,,
KMT-2015-BLG-0112,BLG01N2618,,0402,clear,,,17:56:45.96,-31:49:58.7,269.1915,-31.8329722222,7132.7,5.62,,1.0,,16.96,,,,MB15153,,
KMT-2015-BLG-0113,BLG01N2620,,2640,clear,,,17:56:50.42,-31:47:49.4,269.2100833333,-31.7970555556,7190.1,17.76,,1.0,,20.01,,,,OB151293,,
KMT-2015-BLG-0114,BLG01N2709,,1468,clear,,,17:56:39.00,-32:03:44.5,269.1625,-32.0623611111,7171.3,23.68,,1.0,,19.48,,,,OB151029,,
KMT-2015-BLG-0115,BLG01N2810,,1885,clear,,,17:56:33.79,-32:02:02.6,269.1407916667,-32.0340555556,7104.6,5.62,,0.0,,19.73,,,,OB150381,,
KMT-2015-BLG-0116,BLG01N3010,,0750,clear,,,17:56:18.27,-32:02:36.0,269.076125,-32.0433333333,7104.6,5.62,,1.0,,18.67,,,,,,
KMT-2015-BLG-0117,BLG01N3123,,1642,clear,,,17:56:13.55,-31:42:49.7,269.0564583333,-31.7138055556,7235.0,9.99,,1.0,,19.19,,,,OB151751,,
KMT-2015-BLG-0118,BLG01N3127,,2984,clear,,,17:56:09.97,-31:36:09.1,269.0415416667,-31.6025277778,7256.4,2.37,,1.0,,20.2,,,,,,
KMT-2015-BLG-0119,BLG01N3136,,3478,clear,,,17:56:07.90,-31:23:28.6,269.0329166667,-31.3912777778,7086.4,1.33,,1.0,,20.29,,,,,,
KMT-2015-BLG-0120,BLG01N3214,,2757,clear,,,17:56:04.06,-31:56:39.4,269.0169166667,-31.9442777778,7140.2,5.62,,1.0,,19.96,,,,OB150871,,
KMT-2015-BLG-0121,BLG01N3218,,0543,clear,,,17:56:02.91,-31:50:14.5,269.012125,-31.8373611111,7229.1,1.78,,1.0,,18.25,,,,,,
KMT-2015-BLG-0122,BLG01N3323,,2252,clear,,,17:55:53.35,-31:43:27.7,268.9722916667,-31.7243611111,7068.5,9.99,,1.0,,19.68,,,,OB150085  MB15029,,
KMT-2015-BLG-0123,BLG01N3740,,0345,clear,,,17:55:30.53,-31:16:54.0,268.8772083333,-31.2816666667,7191.7,9.99,,1.0,,17.61,,,,OB151188  MB15259,,
KMT-2015-BLG-0124,BLG01N3819,,3475,clear,,,17:55:18.36,-31:49:30.5,268.8265,-31.8251388889,7313.4,23.68,,1.0,,20.37,,,,,,
KMT-2015-BLG-0125,BLG01N3833,,1044,clear,,,17:55:22.61,-31:27:50.9,268.8442083333,-31.4641388889,7198.0,7.49,,1.0,,19.15,,,,OB151430,,
KMT-2015-BLG-0126,BLG01N3834,,2426,clear,,,17:55:23.77,-31:26:37.2,268.8490416667,-31.4436666667,7158.4,9.99,,1.0,,19.93,,,,OB151086,,
KMT-2015-BLG-0127,BLG01N3835,,3386,clear,,,17:55:20.31,-31:24:36.6,268.834625,-31.4101666667,7301.9,1.33,,1.0,,20.5,,,,,,
KMT-2015-BLG-0128,BLG01N3903,,2647,clear,,,17:55:13.65,-32:13:10.8,268.806875,-32.2196666667,7118.5,3.16,,1.0,,20.26,,,,,,
KMT-2015-BLG-0129,BLG01N3928,,2251,clear,,,17:55:13.00,-31:34:42.0,268.8041666667,-31.5783333333,7085.9,3.16,,1.0,,19.53,,,,,,
KMT-2015-BLG-0130,BLG01N3930,,0682,clear,,,17:55:12.72,-31:32:16.3,268.803,-31.5378611111,7145.0,2.37,,1.0,,18.42,,,,OB150817  MB15181,,
KMT-2015-BLG-0131,BLG01N4024,,2268,clear,,,17:55:09.79,-31:40:34.7,268.7907916667,-31.6763055556,7174.1,13.32,,0.0,,19.62,,,,,,
KMT-2015-BLG-0132,BLG01T0212,,2450,clear,,,17:54:35.08,-31:58:36.8,268.6461666667,-31.9768888889,7078.7,4.21,,0.0,,19.95,,,,,,
KMT-2015-BLG-0133,BLG01T0224,,0314,clear,,,17:54:37.88,-31:40:52.3,268.6578333333,-31.6811944444,7195.0,23.68,,1.0,,17.37,,,,OB151187,,
KMT-2015-BLG-0134,BLG01T0310,,0864,clear,,,17:54:31.12,-32:02:21.0,268.6296666667,-32.0391666667,7085.2,9.99,,0.0,,18.99,,,,OB150200,,
KMT-2015-BLG-0135,BLG01T0311,,1603,clear,,,17:54:32.24,-32:00:07.6,268.6343333333,-32.0021111111,7088.1,7.49,,0.0,,19.34,,,,,,
KMT-2015-BLG-0136,BLG01T0338,,2626,clear,,,17:54:31.75,-31:19:24.1,268.6322916667,-31.3233611111,7286.1,3.16,,1.0,,20.07,,,,MB15528,,
KMT-2015-BLG-0137,BLG01T0535,,2189,clear,,,17:54:17.20,-31:24:02.1,268.5716666667,-31.4005833333,7100.9,5.62,,1.0,,19.78,,,,,,
KMT-2015-BLG-0138,BLG01T0608,,0220,clear,,,17:54:11.27,-32:05:18.7,268.5469583333,-32.0885277778,7111.8,9.99,,1.0,,15.92,,,,OB150255  MB15051,,
KMT-2015-BLG-0139,BLG01T0728,,2175,clear,,,17:54:00.45,-31:35:34.0,268.501875,-31.5927777778,7202.6,2.37,,1.0,,19.84,,,,OB151470,,
KMT-2015-BLG-0140,BLG01T0816,,3251,clear,,,17:53:56.74,-31:53:54.7,268.4864166667,-31.8985277778,7292.9,7.49,,1.0,,20.3,,,,,,
KMT-2015-BLG-0141,BLG01T0902,,0897,clear,,,17:53:47.17,-32:14:12.9,268.4465416667,-32.2369166667,7291.9,5.62,,1.0,,19.14,,,,OB152075,,
KMT-2015-BLG-0142,BLG01T0908,,2715,clear,,,17:53:44.35,-32:05:22.3,268.4347916667,-32.0895277778,7226.8,0.56,,1.0,,20.33,,,,,,
KMT-2015-BLG-0143,BLG01T0932,,1248,clear,,,17:53:49.16,-31:28:20.1,268.4548333333,-31.47225,7095.6,7.49,,1.0,,19.41,,,,OB150266,,
KMT-2015-BLG-0144,BLG01T1105,,2985,clear,,,17:53:32.06,-32:09:15.4,268.3835833333,-32.1542777778,7086.9,3.16,,1.0,,20.75,,,,,,
KMT-2015-BLG-0145,BLG01T1127,,1679,clear,,,17:53:30.19,-31:36:47.6,268.3757916667,-31.6132222222,7101.8,9.99,,1.0,,19.76,,,,OB150229/0319  MB15058,,
KMT-2015-BLG-0146,BLG01T1135,,2173,clear,,,17:53:31.36,-31:23:47.8,268.3806666667,-31.3966111111,7141.5,1.33,,0.0,,19.99,,,,OB150847,,
KMT-2015-BLG-0147,BLG01T1205,,2147,clear,,,17:53:28.59,-32:09:46.0,268.369125,-32.1627777778,7117.6,1.78,,0.0,,20.06,,,,,,
KMT-2015-BLG-0148,BLG01T1209,,0750,clear,,,17:53:25.57,-32:03:47.1,268.3565416667,-32.0630833333,7305.5,23.68,,1.0,,19.16,,,,OB152076  MB15552,,
KMT-2015-BLG-0149,BLG01T1324,,3026,clear,,,17:53:18.85,-31:41:24.8,268.3285416667,-31.6902222222,7161.8,9.99,,1.0,,20.19,,,,OB151118,,
KMT-2015-BLG-0150,BLG01T1424,,1998,clear,,,17:53:09.89,-31:40:27.1,268.2912083333,-31.6741944444,7121.3,13.32,,1.0,,19.75,,,,OB150570,,
KMT-2015-BLG-0151,BLG01T1606,,0556,clear,,,17:52:54.69,-32:08:31.6,268.227875,-32.1421111111,7260.3,2.37,,1.0,,17.29,,,,MB15442,,
KMT-2015-BLG-0152,BLG01T1615,,2005,clear,,,17:52:59.63,-31:55:15.5,268.2484583333,-31.9209722222,7278.9,17.76,,1.0,,19.88,,,,,,
